,name,assists,bonus,bps,clean_sheets,goals_conceded,goals_scored,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,total_points,transfers_balance,was_home,yellow_cards,opponent_difficulty,element,position,creativity,ict_index,influence,threat,value,perc_min_played,n6_opponent_difficulty,team_code,element_type_1,element_type_2,element_type_3,element_type_4,element_type
0,Aaron Connolly,0,0,27,0,3,1,0,0,0,0,0,164421,5,-9276,3,0,3.1666666666666665,78,FWD,0.0,0.0,0.0,0.0,53,0.07142857142857142,3.166666667,3,0,0,0,1,4
1,Aaron Mooy,0,0,0,0,0,0,0,0,0,0,0,5236,0,-52,3,0,3.1666666666666665,60,MID,0.0,0.0,0.0,0.0,50,0.0,3.166666667,3,0,0,1,0,3
2,Adam Lallana,0,0,15,0,0,0,0,0,0,0,0,136850,2,-3506,3,0,3.1666666666666665,54,MID,0.0,0.0,0.0,0.0,62,0.10476190476190476,3.166666667,3,0,0,1,0,3
3,Adam Webster,0,0,94,2,7,0,0,0,0,0,0,733992,16,-22721,3,2,3.1666666666666665,66,DEF,2.5,2.0,15.6,2.0,44,0.8571428571428571,3.166666667,3,0,1,0,0,2
4,Alexis Mac Allister,1,0,43,2,2,0,0,0,0,0,0,17535,12,71,3,1,3.1666666666666665,80,MID,12.5,2.2,0.0,11.0,53,0.4746031746031746,3.166666667,3,0,0,1,0,3
5,Alireza Jahanbakhsh,0,0,6,0,1,0,0,0,0,0,0,16263,2,-240,3,1,3.1666666666666665,71,MID,6.8,3.3,1.4,25.0,54,0.11904761904761904,3.166666667,3,0,0,1,0,3
6,Andi Zeqiri,0,0,0,0,0,0,0,0,0,0,0,28524,1,1417,3,0,3.1666666666666665,574,FWD,0.0,0.0,0.0,0.0,50,0.07142857142857142,3.166666667,3,0,0,0,1,4
7,Ben White,0,2,88,2,6,0,0,0,0,0,0,567231,18,-16514,3,0,3.1666666666666665,74,DEF,0.0,0.0,0.0,0.0,44,0.7142857142857143,3.166666667,3,0,1,0,0,2
8,Bernardo Fernandes da Silva Junior,0,0,27,0,2,0,0,0,0,0,0,3481482,4,-105432,3,0,3.1666666666666665,75,DEF,28.7,10.4,8.4,67.0,39,0.2857142857142857,3.166666667,3,0,1,0,0,2
9,Christian Walton,0,0,0,0,0,0,0,0,0,0,0,617595,0,7224,3,0,3.1666666666666665,503,GK,0.0,0.0,0.0,0.0,40,0.0,3.166666667,3,1,0,0,0,1
10,Dan Burn,0,0,56,1,7,0,1,0,0,0,0,164428,9,2370,3,1,3.1666666666666665,61,DEF,2.6,2.0,11.6,6.0,43,0.6793650793650794,3.166666667,3,0,1,0,0,2
11,Danny Welbeck,0,0,4,0,2,0,0,0,0,0,0,458794,2,-77621,3,0,3.1666666666666665,588,FWD,0.0,0.0,0.0,0.0,55,0.13015873015873017,3.166666667,3,0,0,0,1,4
12,Davy PrÃ¶pper,0,0,28,0,2,0,0,0,0,0,0,15813,7,-56,3,0,3.1666666666666665,59,MID,1.0,4.8,4.0,43.0,48,0.30952380952380953,3.166666667,3,0,0,1,0,3
13,Florin Andone,0,0,0,0,0,0,0,0,0,0,0,32129,0,-311,3,0,3.1666666666666665,64,FWD,0.0,0.0,0.0,0.0,48,0.0,3.166666667,3,0,0,0,1,4
14,Glenn Murray,0,0,0,0,0,0,0,0,0,0,0,41842,0,-474,3,0,3.1666666666666665,53,FWD,0.0,0.0,0.0,0.0,48,0.0,3.166666667,3,0,0,0,1,4
15,Jakub Moder,0,0,0,0,0,0,0,0,0,0,0,906,0,254,1,0,3.0,628,MID,0.0,0.0,0.0,0.0,50,0.0,3.166666667,3,0,0,1,0,3
16,Jason Steele,0,0,0,0,0,0,0,0,0,0,0,378360,0,-5234,3,0,3.1666666666666665,528,GK,0.0,0.0,0.0,0.0,40,0.0,3.166666667,3,1,0,0,0,1
17,Jayson Molumby,0,0,0,0,0,0,0,0,0,0,0,7375,0,-287,3,0,3.1666666666666665,550,MID,0.0,0.0,0.0,0.0,45,0.0,3.166666667,3,0,0,1,0,3
18,Jensen Weir,0,0,0,0,0,0,0,0,0,0,0,185,0,83,1,0,3.0,633,MID,0.0,0.0,0.0,0.0,45,0.0,3.166666667,3,0,0,1,0,3
19,JosÃ© Izquierdo,0,0,0,0,0,0,0,0,0,0,0,1241,0,81,3,0,3.1666666666666665,72,MID,0.0,0.0,0.0,0.0,55,0.0,3.166666667,3,0,0,1,0,3
20,JoÃ«l Veltman,0,3,89,2,5,0,0,0,0,0,0,203322,19,-6189,3,1,3.1666666666666665,67,DEF,34.9,6.0,21.2,4.0,43,0.7142857142857143,3.166666667,3,0,1,0,0,2
21,Leandro Trossard,2,3,73,2,6,0,0,0,0,0,0,311010,22,-8316,3,0,3.1666666666666665,69,MID,0.8,0.1,0.2,0.0,58,0.7015873015873015,3.166666667,3,0,0,1,0,3
22,Lewis Dunk,0,4,137,2,7,2,0,0,0,0,0,1197418,33,-5560,3,1,3.1666666666666665,62,DEF,11.5,3.4,16.0,6.0,48,0.8571428571428571,3.166666667,3,0,1,0,0,2
23,MartÃ­n Montoya,0,0,0,0,0,0,0,0,0,0,0,3711,0,-27,3,0,3.1666666666666665,63,DEF,0.0,0.0,0.0,0.0,45,0.0,3.166666667,3,0,1,0,0,2
24,Mathew Ryan,0,0,0,0,0,0,0,0,0,0,0,4397846,0,-287512,2,0,3.3333333333333335,70,GK,0.0,0.0,0.0,0.0,43,0.0,3.166666667,3,1,0,0,0,1
25,Matthew Clarke,0,0,0,0,0,0,0,0,0,0,0,2228,0,-21,3,0,3.1666666666666665,73,DEF,0.0,0.0,0.0,0.0,44,0.0,3.166666667,3,0,1,0,0,2
26,Max Sanders,0,0,0,0,0,0,0,0,0,0,0,132,0,37,1,0,3.0,632,MID,0.0,0.0,0.0,0.0,45,0.0,3.166666667,3,0,0,1,0,3
27,Neal Maupay,0,5,92,2,5,3,0,0,0,0,0,1090416,27,86340,3,0,3.1666666666666665,68,FWD,0.6,0.1,0.2,0.0,61,0.6253968253968254,3.166666667,3,0,0,0,1,4
28,Pascal GroÃ,0,0,43,2,1,0,0,0,0,0,0,252616,9,-70742,3,0,3.1666666666666665,57,MID,45.6,7.2,14.4,12.0,58,0.4396825396825397,3.166666667,3,0,0,1,0,3
29,Percy Tau,0,0,14,0,1,0,0,0,0,0,0,8472,3,3321,1,0,3.0,627,MID,0.1,0.1,1.2,0.0,55,0.13333333333333333,3.166666667,3,0,0,1,0,3
30,Reda Khadra,0,0,3,0,0,0,0,0,0,0,0,182,1,57,1,0,3.0,630,MID,0.0,0.0,0.0,0.0,45,0.006349206349206349,3.166666667,3,0,0,1,0,3
31,Robert SÃ¡nchez,0,1,107,2,7,0,0,0,0,0,15,349664,20,75107,3,0,3.1666666666666665,597,GK,0.0,2.0,19.6,0.0,44,0.8571428571428571,3.166666667,3,1,0,0,0,1
32,Shane Duffy,0,0,0,0,0,0,0,0,0,0,0,18242,0,-176,3,0,3.1666666666666665,58,DEF,0.0,0.0,0.0,0.0,43,0.0,3.166666667,3,0,1,0,0,2
33,Solomon March,1,0,53,2,5,0,0,0,0,0,0,653840,15,-18019,3,0,3.1666666666666665,65,MID,0.4,0.6,6.0,0.0,50,0.6412698412698413,3.166666667,3,0,0,1,0,3
34,Steven Alzate,0,0,4,0,2,0,0,0,0,0,0,426118,1,10751,3,0,3.1666666666666665,79,MID,0.0,0.0,0.0,0.0,43,0.07142857142857142,3.166666667,3,0,0,1,0,3
35,Tariq Lamptey,0,0,0,0,0,0,0,0,0,0,0,2559430,0,-566977,3,0,3.1666666666666665,77,DEF,0.0,0.0,0.0,0.0,47,0.0,3.166666667,3,0,1,0,0,2
36,Teddy Jenks,0,0,0,0,0,0,0,0,0,0,0,115,0,36,1,0,3.0,631,MID,0.0,0.0,0.0,0.0,45,0.0,3.166666667,3,0,0,1,0,3
37,Yves Bissouma,0,0,61,1,6,0,0,0,0,0,0,1183955,7,-86086,3,2,3.1666666666666665,76,MID,19.0,4.2,22.6,0.0,45,0.5444444444444444,3.166666667,3,0,0,1,0,3
38,Aaron Cresswell,3,5,141,3,5,0,0,0,0,0,0,7300965,36,813493,3,0,2.6666666666666665,435,DEF,43.0,6.8,25.0,0.0,54,0.8571428571428571,3.5,19,0,1,0,0,2
39,Ademipo Odubeko,0,0,0,0,0,0,0,0,0,0,0,925,0,651,2,0,2.6666666666666665,638,FWD,0.0,0.0,0.0,0.0,45,0.0,3.5,19,0,0,0,1,4
40,Albian Ajeti,0,0,0,0,0,0,0,0,0,0,0,3242,0,15,3,0,2.6666666666666665,447,FWD,0.0,0.0,0.0,0.0,55,0.0,3.5,19,0,0,0,1,4
41,Andriy Yarmolenko,1,0,32,1,2,0,0,0,0,0,0,34695,10,-5,3,1,2.6666666666666665,436,MID,12.3,5.3,21.2,19.0,55,0.27936507936507937,3.5,19,0,0,1,0,3
42,Angelo Ogbonna,0,1,108,3,5,0,0,0,0,0,0,1428627,22,158701,3,1,2.6666666666666665,432,DEF,0.3,1.5,14.6,0.0,50,0.8571428571428571,3.5,19,0,1,0,0,2
43,Arthur Masuaku,0,0,0,0,0,0,0,0,0,0,0,299930,0,-51020,3,0,2.6666666666666665,442,DEF,0.0,0.0,0.0,0.0,44,0.0,3.5,19,0,1,0,0,2
44,Ben Johnson,0,0,22,0,2,1,0,0,0,0,0,1449848,7,32447,3,0,2.6666666666666665,452,DEF,0.0,0.0,0.0,0.0,39,0.14285714285714285,3.5,19,0,1,0,0,2
45,Craig Dawson,0,2,103,3,3,1,0,0,0,0,0,85164,29,39379,3,0,2.6666666666666665,576,DEF,0.9,1.2,7.4,4.0,45,0.7142857142857143,3.5,19,0,1,0,0,2
46,Darren Randolph,0,0,23,1,0,0,0,0,0,0,2,128341,6,13862,3,0,2.6666666666666665,430,GK,0.0,0.0,0.0,0.0,44,0.14285714285714285,3.5,19,1,0,0,0,1
47,David Martin,0,0,0,0,0,0,0,0,0,0,0,3287942,0,-59216,3,0,2.6666666666666665,429,GK,0.0,0.0,0.0,0.0,40,0.0,3.5,19,1,0,0,0,1
48,Declan Rice,0,0,107,3,5,0,0,0,0,0,0,1235229,15,12660,3,0,2.6666666666666665,448,MID,8.1,3.9,10.0,21.0,48,0.8571428571428571,3.5,19,0,0,1,0,3
49,FabiÃ¡n Balbuena,0,0,15,0,2,0,0,0,0,0,0,803678,1,-89763,3,0,2.6666666666666665,443,DEF,0.0,0.0,0.0,0.0,44,0.14285714285714285,3.5,19,0,1,0,0,2
50,Felipe Anderson Pereira Gomes,0,0,0,0,0,0,0,0,0,0,0,56838,0,-351,3,0,2.6666666666666665,440,MID,0.0,0.0,0.0,0.0,61,0.0,3.5,19,0,0,1,0,3
51,Frederik Alves,0,0,0,0,0,0,0,0,0,0,0,568,0,312,2,0,2.6666666666666665,637,DEF,0.0,0.0,0.0,0.0,40,0.0,3.5,19,0,1,0,0,2
52,Issa Diop,0,0,0,0,0,0,0,0,0,0,0,219011,0,-4178,3,0,2.6666666666666665,451,DEF,0.0,0.0,0.0,0.0,43,0.0,3.5,19,0,1,0,0,2
53,Jack Wilshere,0,0,0,0,0,0,0,0,0,0,0,23543,0,-171,3,0,2.6666666666666665,434,MID,0.0,0.0,0.0,0.0,49,0.0,3.5,19,0,0,1,0,3
54,Jarrod Bowen,1,0,60,2,3,1,0,0,0,0,0,1874181,20,-106814,3,0,2.6666666666666665,445,MID,2.7,8.1,38.8,39.0,63,0.6126984126984127,3.5,19,0,0,1,0,3
55,Jordan Hugill,0,0,0,0,0,0,0,0,0,0,0,3047,0,-5,3,0,2.6666666666666665,444,FWD,0.0,0.0,0.0,0.0,55,0.0,3.5,19,0,0,0,1,4
56,Lukasz Fabianski,0,1,89,2,5,0,0,0,0,0,10,2080618,18,10026,3,0,2.6666666666666665,431,GK,0.0,1.1,11.4,0.0,51,0.7142857142857143,3.5,19,1,0,0,0,1
57,Manuel Lanzini,1,0,32,0,2,0,0,0,0,0,0,44661,9,212,3,0,2.6666666666666665,439,MID,14.7,5.7,3.8,38.0,64,0.3238095238095238,3.5,19,0,0,1,0,3
58,Mark Noble,0,0,10,0,2,0,0,0,0,0,0,185781,3,-2503,3,0,2.6666666666666665,427,MID,0.3,0.0,0.0,0.0,46,0.08571428571428572,3.5,19,0,0,1,0,3
59,Michail Antonio,1,6,80,1,2,2,0,0,0,0,0,2967567,25,1439635,3,0,2.6666666666666665,437,FWD,25.7,9.0,40.6,24.0,63,0.4746031746031746,3.5,19,0,0,0,1,4
60,Pablo Fornals,1,2,64,3,2,0,0,0,0,0,0,449526,17,-28823,3,0,2.6666666666666665,450,MID,12.1,1.5,2.6,0.0,61,0.5873015873015873,3.5,19,0,0,1,0,3
61,Roberto Jimenez Gago,0,0,0,0,0,0,0,0,0,0,0,4881,0,-17,3,0,2.6666666666666665,433,GK,0.0,0.0,0.0,0.0,45,0.0,3.5,19,1,0,0,0,1
62,Ryan Fredericks,0,0,26,1,1,0,0,0,0,0,0,105575,7,1792,3,0,2.6666666666666665,438,DEF,0.0,0.0,0.0,0.0,42,0.15714285714285714,3.5,19,0,1,0,0,2
63,SaÃ¯d Benrahma,0,0,46,2,2,0,0,0,0,0,0,111467,11,-8437,3,0,2.6666666666666665,587,MID,12.2,5.2,12.4,27.0,60,0.5301587301587302,3.5,19,0,0,1,0,3
64,SÃ©bastien Haller,0,0,-1,1,2,0,0,0,0,0,0,186768,5,-13696,3,0,2.6666666666666665,441,FWD,0.0,0.0,0.0,0.0,61,0.35555555555555557,3.5,19,0,0,0,1,4
65,Tomas Soucek,0,9,152,3,5,4,0,0,0,0,0,7088837,43,1145782,3,1,2.6666666666666665,449,MID,16.1,3.3,12.6,4.0,53,0.8571428571428571,3.5,19,0,0,1,0,3
66,Vladimir Coufal,1,1,93,2,5,0,0,0,0,0,0,2922209,20,501296,3,0,2.6666666666666665,558,DEF,28.1,6.8,29.4,10.0,47,0.7142857142857143,3.5,19,0,1,0,0,2
67,Aaron Ramsdale,0,2,92,1,8,0,0,0,0,0,14,981000,18,-27263,3,0,3.3333333333333335,483,GK,0.0,1.6,15.8,0.0,47,0.8571428571428571,3.5,15,1,0,0,0,1
68,Antwoine Hackford,0,0,3,0,0,0,0,0,0,0,0,14604,1,2108,2,0,3.5,618,FWD,0.1,1.8,0.0,18.0,45,0.015873015873015872,3.5,15,0,0,0,1,4
69,Ben Osborn,0,0,64,1,4,0,0,0,0,0,0,13725,9,-79,3,0,3.3333333333333335,356,MID,5.7,2.8,17.8,4.0,48,0.553968253968254,3.5,15,0,0,1,0,3
70,Billy Sharp,0,1,21,0,1,1,0,0,0,0,0,56930,8,346,3,1,3.3333333333333335,343,FWD,0.0,0.0,0.0,0.0,56,0.18412698412698414,3.5,15,0,0,0,1,4
71,Chris Basham,0,0,79,0,8,0,0,0,0,0,0,340143,9,-8470,3,0,3.3333333333333335,345,DEF,14.4,4.9,10.8,24.0,46,0.7666666666666667,3.5,15,0,1,0,0,2
72,David McGoldrick,0,1,41,2,7,1,0,0,0,0,0,861873,16,94153,3,1,3.3333333333333335,344,FWD,7.2,4.3,7.2,29.0,52,0.7952380952380952,3.5,15,0,0,0,1,4
73,Enda Stevens,0,0,49,0,7,0,0,0,0,0,0,497364,5,-13563,3,1,3.3333333333333335,347,DEF,2.9,1.7,14.0,0.0,51,0.5714285714285714,3.5,15,0,1,0,0,2
74,Ethan Ampadu,0,3,94,1,8,0,0,0,0,0,0,235804,16,6246,3,1,3.3333333333333335,509,DEF,12.3,2.7,14.4,0.0,43,0.819047619047619,3.5,15,0,1,0,0,2
75,George Baldock,0,0,18,0,3,0,0,0,0,0,0,506492,5,-25501,3,1,3.3333333333333335,351,DEF,0.0,0.0,0.0,0.0,50,0.42857142857142855,3.5,15,0,1,0,0,2
76,Jack O'Connell,0,0,0,0,0,0,0,0,0,0,0,60771,0,-926,3,0,3.3333333333333335,354,DEF,0.0,0.0,0.0,0.0,47,0.0,3.5,15,0,1,0,0,2
77,Jack Robinson,0,0,19,0,2,0,0,0,0,0,0,56304,2,-1919,3,1,3.3333333333333335,352,DEF,0.0,0.0,0.0,0.0,43,0.23174603174603176,3.5,15,0,1,0,0,2
78,Jayden Bogle,0,0,37,1,6,0,0,0,0,0,0,44133,8,1595,3,1,3.3333333333333335,510,DEF,18.2,5.5,17.8,19.0,43,0.4873015873015873,3.5,15,0,1,0,0,2
79,John Egan,0,1,74,1,7,0,0,0,0,0,0,1016814,12,-32209,3,1,3.3333333333333335,353,DEF,0.8,2.3,22.4,0.0,47,0.7142857142857143,3.5,15,0,1,0,0,2
80,John Fleck,2,1,77,1,6,0,0,0,0,0,0,57784,16,-444,3,1,3.3333333333333335,346,MID,15.0,3.3,7.0,11.0,56,0.6238095238095238,3.5,15,0,0,1,0,3
81,John Lundstram,1,2,46,1,4,0,0,0,0,0,0,753936,10,-45055,3,2,3.3333333333333335,355,MID,0.0,0.0,0.0,0.0,49,0.42857142857142855,3.5,15,0,0,1,0,3
82,Kean Bryan,0,0,22,0,0,1,0,0,0,0,0,124930,8,280,3,0,3.3333333333333335,603,DEF,0.0,0.0,0.0,0.0,39,0.11904761904761904,3.5,15,0,1,0,0,2
83,Luke Freeman,0,0,0,0,0,0,0,0,0,0,0,2254,0,-28,3,0,3.3333333333333335,477,MID,0.0,0.0,0.0,0.0,50,0.0,3.5,15,0,0,1,0,3
84,Lys Mousset,0,0,4,0,4,0,0,0,0,0,0,33057,5,145,3,0,3.3333333333333335,359,FWD,0.3,0.0,0.0,0.0,58,0.21587301587301588,3.5,15,0,0,0,1,4
85,Max Lowe,0,0,0,0,0,0,0,0,0,0,0,25269,0,-473,3,0,3.3333333333333335,511,DEF,0.0,0.0,0.0,0.0,43,0.0,3.5,15,0,1,0,0,2
86,Michael Verrips,0,0,0,0,0,0,0,0,0,0,0,193071,0,2779,3,0,3.3333333333333335,580,GK,0.0,0.0,0.0,0.0,40,0.0,3.5,15,1,0,0,0,1
87,Oliver Burke,0,0,31,0,3,1,0,0,0,0,0,1044351,10,-17371,3,1,3.3333333333333335,424,MID,0.0,0.0,0.0,0.0,44,0.3492063492063492,3.5,15,0,0,1,0,3
88,Oliver McBurnie,0,0,1,0,1,0,0,0,0,0,0,93743,1,-3537,3,0,3.3333333333333335,357,FWD,0.0,0.0,0.0,0.0,56,0.07142857142857142,3.5,15,0,0,0,1,4
89,Oliver Norwood,0,0,62,1,7,0,0,0,0,0,0,71054,9,-1480,3,2,3.3333333333333335,349,MID,10.6,3.1,14.6,6.0,46,0.6126984126984127,3.5,15,0,0,1,0,3
90,Phil Jagielka,0,0,12,0,1,0,0,0,0,0,0,251828,3,-5199,3,0,3.3333333333333335,529,DEF,0.0,0.0,0.0,0.0,40,0.14444444444444443,3.5,15,0,1,0,0,2
91,Rhian Brewster,0,0,25,1,1,0,0,0,0,0,0,3572595,8,116426,3,0,3.3333333333333335,262,FWD,0.9,0.1,0.2,0.0,45,0.4158730158730159,3.5,15,0,0,0,1,4
92,Sander Berge,0,0,0,0,0,0,0,0,0,0,0,53901,0,-6020,3,0,3.3333333333333335,360,MID,0.0,0.0,0.0,0.0,49,0.0,3.5,15,0,0,1,0,3
93,Simon Moore,0,0,0,0,0,0,0,0,0,0,0,49778,0,-1013,3,0,3.3333333333333335,348,GK,0.0,0.0,0.0,0.0,43,0.0,3.5,15,1,0,0,0,1
94,Wes Foderingham,0,0,0,0,0,0,0,0,0,0,0,48641,0,-547,3,0,3.3333333333333335,350,GK,0.0,0.0,0.0,0.0,43,0.0,3.5,15,1,0,0,0,1
95,Aaron Wan-Bissaka,1,1,131,3,4,0,0,0,0,0,0,5087814,27,167663,3,0,3.142857142857143,313,DEF,6.0,1.6,10.4,0.0,54,0.8571428571428571,3.166666667,13,0,1,0,0,2
96,Alex Nicolao Telles,1,3,35,0,2,0,0,0,0,0,0,580962,8,-70614,3,0,3.142857142857143,568,DEF,7.1,0.9,1.6,0.0,55,0.2,3.166666667,13,0,1,0,0,2
97,Amad Diallo,0,0,0,0,0,0,0,0,0,0,0,706,0,644,1,0,3.0,640,MID,0.0,0.0,0.0,0.0,55,0.0,3.166666667,13,0,0,1,0,3
98,Andreas Pereira,0,0,0,0,0,0,0,0,0,0,0,17886,0,-136,3,0,3.142857142857143,304,MID,0.0,0.0,0.0,0.0,48,0.0,3.166666667,13,0,0,1,0,3
99,Anthony Martial,0,0,66,2,5,1,0,0,0,0,0,2953159,17,125830,3,0,3.142857142857143,303,FWD,3.9,1.4,1.4,9.0,87,0.8158730158730159,3.166666667,13,0,0,0,1,4
100,Axel Tuanzebe,0,0,17,0,3,0,1,0,0,0,0,60505,1,-444,3,1,3.142857142857143,307,DEF,0.0,0.0,0.0,0.0,42,0.17142857142857143,3.166666667,13,0,1,0,0,2
101,Brandon Williams,0,0,0,0,0,0,0,0,0,0,0,345529,0,-11275,3,0,3.142857142857143,318,DEF,0.0,0.0,0.0,0.0,42,0.0,3.166666667,13,0,1,0,0,2
102,Bruno Miguel Borges Fernandes,3,6,140,3,6,2,0,0,0,0,0,28043923,40,1126677,3,2,3.142857142857143,302,MID,45.2,13.6,35.6,55.0,111,0.9873015873015873,3.166666667,13,0,0,1,0,3
103,Chris Smalling,0,0,0,0,0,0,0,0,0,0,0,46942,0,-263,3,0,3.142857142857143,292,DEF,0.0,0.0,0.0,0.0,49,0.0,3.166666667,13,0,1,0,0,2
104,Daniel James,0,0,3,0,1,0,0,0,0,0,0,130233,2,-519,3,0,3.142857142857143,311,MID,0.0,0.0,0.0,0.0,62,0.08888888888888889,3.166666667,13,0,0,1,0,3
105,David de Gea,0,3,127,3,6,0,0,0,0,0,18,2440253,31,141937,3,0,3.142857142857143,291,GK,0.0,3.4,34.2,0.0,53,1.0,3.166666667,13,1,0,0,0,1
106,Dean Henderson,0,0,0,0,0,0,0,0,0,0,0,760006,0,-10331,3,0,3.142857142857143,305,GK,0.0,0.0,0.0,0.0,52,0.0,3.166666667,13,1,0,0,0,1
107,Donny van de Beek,0,0,5,0,0,0,0,0,0,0,0,821930,1,-13771,3,0,3.142857142857143,495,MID,0.0,0.0,0.0,0.0,66,0.011111111111111112,3.166666667,13,0,0,1,0,3
108,Edinson Cavani,1,1,54,2,3,1,0,0,0,0,0,1205339,17,326468,3,0,3.142857142857143,569,FWD,3.0,1.5,0.0,15.0,78,0.5365079365079365,3.166666667,13,0,0,0,1,4
109,Eric Bailly,0,4,108,2,4,0,0,0,0,0,0,248244,20,48138,3,1,3.142857142857143,310,DEF,0.9,3.3,12.2,20.0,49,0.7142857142857143,3.166666667,13,0,1,0,0,2
110,Facundo Pellistri,0,0,0,0,0,0,0,0,0,0,0,3743,0,-66,3,0,3.142857142857143,575,MID,0.0,0.0,0.0,0.0,52,0.0,3.166666667,13,0,0,1,0,3
111,Frederico Rodrigues de Paula Santos,0,0,62,1,4,0,0,0,0,0,0,114092,9,-841,3,0,3.142857142857143,299,MID,0.0,0.0,0.0,0.0,53,0.5714285714285714,3.166666667,13,0,0,1,0,3
112,Harry Maguire,0,3,145,3,6,1,0,0,0,0,0,2288224,32,109580,3,1,3.142857142857143,298,DEF,1.0,2.8,25.4,2.0,54,1.0,3.166666667,13,0,1,0,0,2
113,James Garner,0,0,0,0,0,0,0,0,0,0,0,24291,0,-430,3,0,3.142857142857143,317,MID,0.0,0.0,0.0,0.0,44,0.0,3.166666667,13,0,0,1,0,3
114,Jesse Lingard,0,0,0,0,0,0,0,0,0,0,0,77452,0,-218,3,0,3.142857142857143,301,MID,0.0,0.0,0.0,0.0,59,0.0,3.166666667,13,0,0,1,0,3
115,JosÃ© Diogo Dalot Teixeira,0,0,0,0,0,0,0,0,0,0,0,15809,0,-99,3,0,3.142857142857143,314,DEF,0.0,0.0,0.0,0.0,48,0.0,3.166666667,13,0,1,0,0,2
116,Juan Mata,0,0,0,0,0,0,0,0,0,0,0,76276,0,-1879,3,0,3.142857142857143,290,MID,0.0,0.0,0.0,0.0,59,0.0,3.166666667,13,0,0,1,0,3
117,Lee Grant,0,0,0,0,0,0,0,0,0,0,0,37114,0,1894,3,0,3.142857142857143,604,GK,0.0,0.0,0.0,0.0,40,0.0,3.166666667,13,1,0,0,0,1
118,Luke Shaw,0,6,128,2,4,0,0,0,0,0,0,836460,23,177673,3,2,3.142857142857143,300,DEF,27.2,3.8,10.4,0.0,48,0.7984126984126985,3.166666667,13,0,1,0,0,2
119,Marcos Rojo,0,0,0,0,0,0,0,0,0,0,0,27277,0,-230,3,0,3.142857142857143,294,DEF,0.0,0.0,0.0,0.0,48,0.0,3.166666667,13,0,1,0,0,2
120,Marcus Rashford,1,0,76,3,5,2,0,0,0,0,0,6415276,27,323273,3,2,3.142857142857143,306,MID,10.0,8.1,32.6,38.0,95,0.8476190476190476,3.166666667,13,0,0,1,0,3
121,Mason Greenwood,0,0,29,1,2,0,0,0,0,0,0,1118824,9,-39571,3,0,3.142857142857143,315,MID,27.4,4.5,9.2,8.0,71,0.353968253968254,3.166666667,13,0,0,1,0,3
122,Nemanja Matic,0,0,51,2,2,0,0,0,0,0,0,110047,9,-1513,3,1,3.142857142857143,295,MID,19.8,4.2,22.2,0.0,48,0.46984126984126984,3.166666667,13,0,0,1,0,3
123,Odion Ighalo,0,0,0,0,0,0,0,0,0,0,0,100146,0,-682,3,0,3.142857142857143,293,FWD,0.0,0.0,0.0,0.0,61,0.0,3.166666667,13,0,0,0,1,4
124,Paul Pogba,1,6,131,3,5,2,0,0,0,0,0,968480,34,182579,3,1,3.142857142857143,296,MID,17.4,4.5,16.2,11.0,77,0.9142857142857143,3.166666667,13,0,0,1,0,3
125,Phil Jones,0,0,0,0,0,0,0,0,0,0,0,18530,0,-101,3,0,3.142857142857143,297,DEF,0.0,0.0,0.0,0.0,48,0.0,3.166666667,13,0,1,0,0,2
126,Scott McTominay,0,0,29,1,3,0,0,0,0,0,0,624261,10,72316,3,0,3.142857142857143,309,MID,0.0,0.0,0.0,0.0,49,0.3984126984126984,3.166666667,13,0,0,1,0,3
127,Sergio Romero,0,0,0,0,0,0,0,0,0,0,0,41423,0,-344,3,0,3.142857142857143,289,GK,0.0,0.0,0.0,0.0,49,0.0,3.166666667,13,1,0,0,0,1
128,Tahith Chong,0,0,0,0,0,0,0,0,0,0,0,6439,0,-57,3,0,3.142857142857143,316,MID,0.0,0.0,0.0,0.0,44,0.0,3.166666667,13,0,0,1,0,3
129,Teden Mengi,0,0,0,0,0,0,0,0,0,0,0,515471,0,-12322,3,0,3.142857142857143,319,DEF,0.0,0.0,0.0,0.0,39,0.0,3.166666667,13,0,1,0,0,2
130,Timothy Fosu-Mensah,0,0,0,0,0,0,0,0,0,0,0,47422,0,-816,3,0,3.142857142857143,312,DEF,0.0,0.0,0.0,0.0,43,0.0,3.166666667,13,0,1,0,0,2
131,Victor LindelÃ¶f,0,0,29,1,1,0,0,0,0,0,0,793887,8,-44305,3,0,3.142857142857143,308,DEF,0.0,0.0,0.0,0.0,48,0.24603174603174602,3.166666667,13,0,1,0,0,2
132,Abdoulaye DoucourÃ©,1,0,43,1,2,0,0,0,0,0,0,298695,9,-11722,2,1,3.25,512,MID,2.8,1.4,7.0,4.0,53,0.42857142857142855,3.166666667,7,0,0,1,0,3
133,Alex Iwobi,0,1,46,1,1,1,0,0,0,0,0,86973,12,0,2,0,3.25,159,MID,6.0,11.1,49.2,56.0,59,0.30158730158730157,3.166666667,7,0,0,1,0,3
134,Allan Marques Loureiro,0,0,0,0,0,0,0,0,0,0,0,219395,0,-10793,2,0,3.25,502,MID,0.0,0.0,0.0,0.0,52,0.0,3.166666667,7,0,0,1,0,3
